"RefDes","Value","Name","Quantity"
"C1","1uFx50V","Y5V","1"
"C2","220pFx50V","","1"
"C3, C5, C10, C11, C12, C103","0.1uF","","6"
"C4","220pF","","1"
"C6, C7, C9","1000pFx50V","","3"
"C8","0.1uFx50V","","1"
"C101, C102, C104, C105, C106, C107","1uF","","6"
"D1","","SMBJ30CA","1"
"D2","","BAT54S","1"
"D3","","G1A","1"
"F1","0.1A","MF-USMF010","1"
"J101","","1-644456-0","1"
"Q1","","BSS84","1"
"Q2, Q5, Q6","","BSS138","3"
"Q3, Q4","","IRLML5103","2"
"Q7","","ULN2003L","1"
"Q8","","BSR41","1"
"R1, R19","100","100 (0603)","2"
"R2, R10, R11, R15, R18, R21","10k","10k (0603)","6"
"R3, R7","180","180 (0603)","2"
"R4, R5, R6, R12, R14, R17, R24, R27, R28, R29","100k","100k (0603)","10"
"R8, R9, R16, R20, R23, R26","1k","1k (0603)","6"
"R13","510","510 (0603)","1"
"R22","100k","10k (0603)","1"
"R25","680k","680k (0603)","1"
"R101, R102","4.7k","4.7k (0805)","2"
"U1","","LM2902D","1"
"U2","","MCP6001T-I","1"
"U101","","MCP1700T-3302E/TT","1"
"U102","","STM32F030K6T","1"
"","","","67"
